OHBDG01;masterbarang;010049#MIRANDA HAIR MASK JJOBA OIL 30#MIRANDA HAIR MASK JJOBA OIL 30#MIR HM SAC#6500#0##0#0#PCS#010044#144#HO#0#Konsinyasi#1#01#0102#0#0#01#0102#0#01#99#01#0104#99#2016-01-04#0000-00-00#8997016374930##A#
OHBDG01;masterbarang;010031#MIRANDA MGC SHAMPOO BLACK MS-1#MIRANDA MGC SHAMPOO BLACK MS-1#MIRANDA MG#16000#0#HJ#9400#9400#PCS##144#HO#0#Normal#1#01#0102#0#0#01#0103#0#01#01#02#0206#04#2016-01-04#0000-00-00#8997016373247##A#
OHBDG01;masterbarang;010032#MIRANDA MGC SHAMPOO BROWN MS-9#MIRANDA MGC SHAMPOO BROWN MS-9#MIRANDA MG#16000#0#HJ#9400#9400#PCS##144#HO#0#Normal#1#01#0102#0#0#01#0103#0#01#01#02#0206#04#2016-01-04#0000-00-00#8997016373254##A#
OHBDG01;masterbarang;040001#NUFACE WHITENING ANTI ACNE#NUFACE WHITENING ANTI ACNE#NUFACE WHI#16000#0#HJ#8900#8900#PCS#040001#144#HO#0#Normal#1#01#0102#0#0#04#0401#0#01#99#02#0203#06#2016-01-04#0000-00-00#8997016370437##A#
OHBDG01;masterbarang;040002#NUFACE WHITENING ANTI AGEING#NUFACE WHITENING ANTI AGEING#NUFACE WHI#16000#0#HJ#8900#8900#PCS#040002#144#HO#0#Normal#1#01#0102#0#0#04#0401#0#01#99#02#0203#06#2016-01-04#0000-00-00#8997016370444##A#
OHBDG01;masterbarang;040005#NUFACE WHITENING REVITALIZING#NUFACE WHITENING REVITALIZING#NUFACE WHI#16000#0#HJ#8900#8900#PCS#040005#144#HO#0#Normal#1#01#0102#0#0#04#0401#0#01#99#02#0203#06#2016-01-04#0000-00-00#8997016370475##A#
OHBDG01;masterbarang;090101#HERBORIST LLR BNGKOANG 100-NEW#HERBORIST LLR BNGKOANG 100-NEW#HERBORIST#13500#0#HJ#8600#8600#PCS##48#HO#0#Normal#1#01#0102#0#0#09#0901#0#01#01#01#0102#01#2016-01-04#0000-00-00#8997016371632##A#
OHBDG01;masterbarang;090102#HERBORIST LLR CHOCOLAT 100-NEW#HERBORIST LLR CHOCOLAT 100-NEW#HERBORIST#13500#0#HJ#8600#8600#PCS##48#HO#0#Normal#1#01#0102#0#0#09#0901#0#01#01#01#0102#01#2016-01-04#0000-00-00#8997016371663##A#
OHBDG01;masterbarang;090103#HERBORIST LLR MILK 100 - NEW#HERBORIST LLR MILK 100 - NEW#HERBORIST#13500#0#HJ#8600#8600#PCS##48#HO#0#Normal#1#01#0102#0#0#09#0901#0#01#01#01#0102#01#2016-01-04#0000-00-00#8997016371625##A#
OHBDG01;masterbarang;090104#HERBORIST LLR PEPAYA 100-NEW#HERBORIST LLR PEPAYA 100-NEW#HERBORIST#13500#0#HJ#8600#8600#PCS##48#HO#0#Normal#1#01#0102#0#0#09#0901#0#01#01#01#0102#01#2016-01-04#0000-00-00#8997016371618##A#
